=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.07 16:10:31 =~=~=~=~=~=~=~=~=~=~=~=
Turn on power supply within 5 seconds
Running in 3 seconds
0	Angle:-23.36	AngleRate:1.69	Error:23.36	ErrorRate:-1.69	P:32.71	I:0.01	D:2.03	PID:34	velL:34	velR:0
1	Angle:-23.43	AngleRate:0.87	Error:23.43	ErrorRate:-0.87	P:32.81	I:0.02	D:0.00	PID:32	velL:32	velR:0
2	Angle:-23.42	AngleRate:0.87	Error:23.42	ErrorRate:-0.87	P:32.79	I:0.03	D:0.00	PID:32	velL:32	velR:0
3	Angle:-23.72	AngleRate:0.85	Error:23.72	ErrorRate:-0.85	P:33.20	I:0.04	D:0.00	PID:33	velL:33	velR:0
4	Angle:-23.79	AngleRate:0.85	Error:23.79	ErrorRate:-0.85	P:33.31	I:0.05	D:0.00	PID:33	velL:33	velR:0
5	Angle:-23.74	AngleRate:0.85	Error:23.74	ErrorRate:-0.85	P:33.24	I:0.06	D:0.00	PID:33	velL:33	velR:0
6	Angle:-23.59	AngleRate:0.85	Error:23.59	ErrorRate:-0.85	P:33.02	I:0.07	D:0.00	PID:33	velL:33	velR:0
7	Angle:-23.52	AngleRate:0.84	Error:23.52	ErrorRate:-0.84	P:32.93	I:0.08	D:0.00	PID:33	velL:33	velR:0
8	Angle:-23.45	AngleRate:0.85	Error:23.45	ErrorRate:-0.85	P:32.83	I:0.08	D:0.00	PID:32	velL:32	velR:0
9	Angle:-23.38	AngleRate:0.87	Error:23.38	ErrorRate:-0.87	P:32.73	I:0.09	D:0.00	PID:32	velL:32	velR:0
10	Angle:-23.42	AngleRate:0.89	Error:23.42	ErrorRate:-0.89	P:32.79	I:0.10	D:0.00	PID:32	velL:32	velR:0
11	Angle:-23.47	AngleRate:0.89	Error:23.47	ErrorRate:-0.89	P:32.85	I:0.11	D:0.00	PID:32	velL:32	velR:0
12	Angle:-23.58	AngleRate:0.87	Error:23.58	ErrorRate:-0.87	P:33.01	I:0.12	D:0.00	PID:33	velL:33	velR:0
13	Angle:-23.61	AngleRate:0.87	Error:23.61	ErrorRate:-0.87	P:33.05	I:0.13	D:0.00	PID:33	velL:33	velR:0
14	Angle:-23.61	AngleRate:0.87	Error:23.61	ErrorRate:-0.87	P:33.05	I:0.14	D:0.00	PID:33	velL:33	velR:0
15	Angle:-23.61	AngleRate:0.85	Error:23.61	ErrorRate:-0.85	P:33.05	I:0.15	D:0.00	PID:33	velL:33	velR:0
16	Angle:-23.58	AngleRate:0.87	Error:23.58	ErrorRate:-0.87	P:33.02	I:0.16	D:0.00	PID:33	velL:33	velR:0
17	Angle:-23.57	AngleRate:0.90	Error:23.57	ErrorRate:-0.90	P:32.99	I:0.17	D:0.00	PID:33	velL:33	velR:0
18	Angle:-23.54	AngleRate:0.89	Error:23.54	ErrorRate:-0.89	P:32.95	I:0.18	D:0.00	PID:33	velL:33	velR:0
19	Angle:-23.56	AngleRate:0.90	Error:23.56	ErrorRate:-0.90	P:32.99	I:0.19	D:0.00	PID:33	velL:33	velR:0
20	Angle:-23.60	AngleRate:0.90	Error:23.60	ErrorRate:-0.90	P:33.04	I:0.20	D:0.00	PID:33	velL:33	velR:0
21	Angle:-23.66	AngleRate:0.92	Error:23.66	ErrorRate:-0.92	P:33.12	I:0.21	D:0.00	PID:33	velL:33	velR:0
22	Angle:-23.67	AngleRate:0.90	Error:23.67	ErrorRate:-0.90	P:33.13	I:0.22	D:0.00	PID:33	velL:33	velR:0
23	Angle:-23.70	AngleRate:0.89	Error:23.70	ErrorRate:-0.89	P:33.18	I:0.23	D:0.00	PID:33	velL:33	velR:0
24	Angle:-23.66	AngleRate:0.89	Error:23.66	ErrorRate:-0.89	P:33.12	I:0.24	D:0.00	PID:33	velL:33	velR:0
